m, c, val,
414, 33422.5, 0.000154998,
414, 34218.3, 0.000162298,
414, 35014.1, 0.000169795,
414, 35809.9, 0.000177416,
414, 36605.6, 0.000185198,
414, 37401.4, 0.000193267,
414, 38197.2, 0.00020134,
414, 38993, 0.000209571,
414, 39788.7, 0.00021799,
414, 40584.5, 0.000226526,
414, 41380.3, 0.000235361,
414, 42176.1, 0.000244179,
414, 42971.8, 0.000253176,
414, 43767.6, 0.000262288,
414, 44563.4, 0.000271552,
414, 45359.2, 0.000280991,
414, 46154.9, 0.000290678,
414, 46950.7, 0.00030038,
414, 47746.5, 0.000310185,
414, 48542.3, 0.000320172,
414, 49338, 0.000330252,
414, 50133.8, 0.000340477,
414, 50929.6, 0.000351,
414, 51725.4, 0.000361502,
414, 52521.1, 0.000372094,
414, 53316.9, 0.000382856,
414, 54112.7, 0.000393708,
414, 54908.5, 0.000404722,
414, 55704.2, 0.000416008,
414, 56500, 0.000427207,
414, 57295.8, 0.000438566,
414, 58091.6, 0.000450049,
414, 58887.3, 0.000461608,
414, 59683.1, 0.000473319,
414, 60478.9, 0.000485146,
414, 61274.7, 0.000497227,
414, 62070.4, 0.000509218,
414, 62866.2, 0.000521352,
414, 63662, 0.000533593,
414, 64457.8, 0.000545941,
414, 65253.5, 0.000558392,
414, 66049.3, 0.000570945,
414, 66845.1, 0.00058375,
414, 67640.9, 0.00059648,
414, 68436.6, 0.000609305,
414, 69232.4, 0.000622224,
414, 70028.2, 0.000635234,
414, 70823.9, 0.000648333,
414, 71619.7, 0.000661519,
414, 72415.5, 0.000674791,
414, 73211.3, 0.000688147,
414, 74007, 0.000701586,
414, 74802.8, 0.000715255,
414, 75598.6, 0.000728839,
414, 76394.4, 0.000742502,
414, 77190.1, 0.000756272,
414, 77985.9, 0.000770077,
414, 78781.7, 0.000783955,
414, 79577.5, 0.000797904,
416, 795.775, 1.76604e-07,
416, 1591.55, 4.26766e-07,
416, 2387.32, 1.0171e-06,
416, 3183.1, 1.66435e-06,
416, 3978.87, 2.47653e-06,
416, 4774.65, 3.52635e-06,
416, 5570.42, 4.73347e-06,
416, 6366.2, 6.27031e-06,
416, 7161.97, 7.87535e-06,
416, 7957.75, 9.65258e-06,
416, 8753.52, 1.16587e-05,
416, 9549.3, 1.39727e-05,
416, 10345.1, 1.63407e-05,
416, 11140.8, 1.89167e-05,
416, 11936.6, 2.16512e-05,
416, 12732.4, 2.47682e-05,
416, 13528.2, 2.78699e-05,
416, 14323.9, 3.12012e-05,
416, 15119.7, 3.47371e-05,
416, 15915.5, 3.85838e-05,
416, 16711.3, 4.24741e-05,
416, 17507, 4.65667e-05,
416, 18302.8, 5.08255e-05,
416, 19098.6, 5.54585e-05,
416, 19894.4, 6.01026e-05,
416, 20690.1, 6.49456e-05,
416, 21485.9, 6.99865e-05,
416, 22281.7, 7.53682e-05,
416, 23077.5, 8.0721e-05,
416, 23873.2, 8.63035e-05,
416, 24669, 9.20808e-05,
416, 25464.8, 9.81915e-05,
416, 26260.6, 0.000104314,
416, 27056.3, 0.000110628,
416, 27852.1, 0.000117132,
416, 28647.9, 0.00012396,
416, 29443.7, 0.000130801,
416, 30239.4, 0.000137831,
416, 31035.2, 0.000145047,
